institution_acr,institution_id,total_professors_count,num_programs,gp_start_year,institution_age,weighted_score,in_degree,out_degree,in_strength,out_strength,new_spring_rank,new_shifted_spring_rank,self_hires,international_hires,faculty_production,h_index,i10_index
PUC-RIO,I2699952,20,1,1967,55,7.0,3,32,10,82,1.1592379992526105,1.838500430488065,1.0,10.0,3542,77.0,944.0
UNICAMP,I181391015,42,1,1977,45,7.0,4,36,25,126,1.0413471726900476,1.7206096039255023,1.0,15.0,5791,110.0,1519.0
UFRJ,I122140584,59,2,1971,51,5.677966101694915,4,31,33,108,0.9908316061493688,1.6700940373848236,1.0,21.0,5627,84.0,1155.0
UFRGS,I130442723,57,1,1973,49,7.0,6,22,29,99,0.93311195205604,1.6123743832914943,1.0,28.0,7611,103.0,1864.0
UFPE,I25112270,71,1,1975,47,7.0,3,21,31,116,0.8828324416366506,1.5620948728721054,1.0,40.0,6939,98.0,1731.0
USP/SC,I17974374,127,4,1974,48,5.866141732283465,6,41,84,226,0.7953429661865958,1.4746053974220503,1.0,40.0,14711,143.0,3869.0
UFMG,I110200422,65,1,1974,48,7.0,6,23,32,80,0.6954663144213523,1.3747287456568071,1.0,32.0,7686,142.0,2352.0
PUC/RS,I45643870,21,1,1994,28,7.0,3,5,9,9,0.657852593404415,1.3371150246398698,1.0,12.0,3175,74.0,807.0
UFSC,I4104125,27,1,1992,30,5.0,5,16,19,36,0.6373160721801217,1.3165785034155764,1.0,8.0,2283,50.0,400.0
UTFPR,I1283613182,12,1,2016,6,3.0,5,4,9,8,0.344473488072709,1.0237359193081637,1.0,2.0,551,31.0,94.0
UFF,I161127581,44,1,1995,27,6.0,5,12,38,27,0.2971612821538386,0.9764237133892932,1.0,6.0,4248,86.0,943.0
UFCG,I41455075,31,1,1973,49,4.0,3,7,20,25,0.2843920947815808,0.9636545260170356,1.0,11.0,1560,50.0,321.0
UFRN,I35046152,27,1,1999,23,5.0,7,9,19,13,0.277373651488922,0.9566360827243768,1.0,8.0,2447,65.0,598.0
UFC,I243754102,46,2,1995,27,4.130434782608695,5,5,32,32,0.2535069341522041,0.9327693653876588,1.0,13.0,2734,63.0,462.0
UFES,I51235708,21,1,1994,28,4.0,4,3,8,3,0.1773251601782579,0.8565875914137127,0.0,11.0,1887,70.0,514.0
IME,I41870,11,1,1971,51,3.0,2,1,7,1,0.1378790592537577,0.8171414904892125,0.0,2.0,589,33.0,97.0
UFPR,I52418104,37,1,1996,26,6.0,10,7,25,18,0.1138141284877921,0.7930765597232469,1.0,12.0,3733,83.0,796.0
PUC/PR,I176838256,14,1,1996,26,5.0,5,5,9,6,0.0832198692366706,0.7624823004721254,1.0,5.0,1167,48.0,290.0
UNIRIO,I83648350,15,1,2007,15,4.0,3,1,13,1,0.0609762303787425,0.7402386616141973,1.0,2.0,1745,35.0,203.0
UFAM,I62885914,20,1,2001,21,6.0,9,4,16,5,0.0521332219484718,0.7313956531839265,1.0,4.0,2106,59.0,452.0
UFPB-JP,I169045520,20,1,2006,16,4.0,9,4,15,5,0.0321828773741597,0.7114453086096144,1.0,5.0,1224,47.0,221.0
UFSCAR,I177909021,44,2,1988,34,4.409090909090909,6,6,43,7,0.0227239670467236,0.7019863982821783,1.0,1.0,2976,66.0,641.0
UFBA,I126158947,32,1,2014,8,5.0,9,4,25,12,0.0224453186043023,0.701707749839757,1.0,7.0,1968,56.0,400.0
UFPA,I59606676,19,1,2005,17,5.0,5,2,15,8,0.0165049721804165,0.6957674034158713,1.0,4.0,1954,52.0,376.0
UFJF,I101100930,14,1,2011,11,4.0,4,1,12,1,-0.0233130073932098,0.6559494238422449,0.0,1.0,1488,28.0,167.0
UNISINOS,I61722147,13,1,2000,22,5.0,4,0,13,0,-0.0517888726611314,0.6274735585743233,0.0,0.0,1628,55.0,338.0
UNB,I150729083,30,1,1989,33,5.0,9,2,17,6,-0.0650870554521106,0.6141753757833441,1.0,12.0,3348,65.0,687.0
UFPEL,I169248161,19,1,2011,11,5.0,2,1,16,1,-0.0669082377758796,0.6123541934595751,1.0,3.0,1773,40.0,285.0
UFABC,I71715416,26,1,2011,11,4.0,3,1,21,1,-0.0799768003961369,0.5992856308393179,0.0,2.0,1598,57.0,325.0
UFU,I80850581,28,1,2001,21,5.0,7,3,24,5,-0.103157282534481,0.5761051487009737,1.0,3.0,1782,52.0,378.0
UFRPE,I62921916,22,1,2011,11,3.0,4,1,20,1,-0.1316493149864997,0.5476131162489549,1.0,2.0,1611,43.0,291.0
UFMS,I122558511,19,1,1999,23,4.0,5,0,18,0,-0.1465516511215858,0.5327107801138689,0.0,1.0,1083,57.0,264.0
UPE,I71437568,17,1,2006,16,4.0,3,0,16,0,-0.1478386872458507,0.531423743989604,0.0,1.0,1953,45.0,405.0
UNIFEI,I8165072,19,1,2008,14,3.0,6,1,16,4,-0.1609147202717825,0.5183477109636723,1.0,1.0,717,29.0,116.0
UFSM,I33501960,20,1,2007,15,3.0,6,1,17,1,-0.1669087362187334,0.5123536950167213,1.0,3.0,1084,40.0,154.0
UNESP-SJRP,I879563668,24,1,2006,16,4.0,3,0,23,0,-0.17408705903194,0.5051753722035147,0.0,0.0,1909,72.0,483.0
UEL,I127110123,11,1,2008,14,4.0,5,0,10,0,-0.179523490469692,0.4997389407657627,0.0,0.0,695,37.0,158.0
FURG,I126460647,16,1,2012,10,4.0,7,0,12,0,-0.1815867701805402,0.4976756610549144,0.0,4.0,1478,43.0,267.0
UECE,I102939073,12,1,2007,15,4.0,4,0,6,0,-0.2100891441990096,0.469173287036445,0.0,6.0,671,31.0,108.0
UNIVALI,I4210144729,12,1,2007,15,4.0,4,0,11,0,-0.2293453937753936,0.449917037460061,0.0,1.0,935,39.0,155.0
UFV,I146165071,16,1,2004,18,4.0,5,0,11,0,-0.2564554282049744,0.4228070030304802,0.0,5.0,1191,41.0,243.0
UFSJ,I4210130985,15,1,2017,5,4.0,6,0,15,0,-0.2630952911896747,0.41616714004578,0.0,0.0,984,40.0,195.0
UFMA,I47327664,17,1,2011,11,4.0,6,1,15,4,-0.2680865479619388,0.4111758832735159,1.0,0.0,1227,43.0,221.0
