name,abbr,mapped_abbr
centro de pesquisa agroflorestal de roraima,cpaf rr,embrapa rr
centro de pesquisa agroflorestal de rondonia,cpafro ro,embrapa ro
centro universitario de araraquara,uniara,uniara
centro universitario de anapolis,unievangelica,unievangelica
centro universitario de anapolis,unievangel,unievangelica
centro universitario das faculdades metropolitanas unidas,fmu,fmu
centro universitario da fundacao herminio ometto,fho,fho
centro universitario da fei,fei,fei
centro universitario curitiba,unicuritiba,unicuritiba
centro universitario curitiba,unicuritib,unicuritiba
centro universitario christus,unichristus,unichristus
centro universitario cesmac,cesmac,cesmac
centro universitario campos de andrade,uniandrade,uniandrade
centro universitario campo limpo paulista,unifaccamp,unifaccamp
centro universitario autonomo do brasil,unibrasil,unibrasil
centro universitario augusto motta,unisuam,unisuam
centro universitario de maceio,unima,unima
centro universitario de joao pessoa,unipe,unipe
centro universitario de franca,unifacef,unifacef
centro universitario de brasilia,uniceub,uniceub
centro universitario de bauru,ite,ite
centro universitario alves faria,unialfa,unialfa
centro de pesquisa aggeu magalhaes fiocruz,nesc cpqam,fiocruz cpqam
centro de ensino superior de juiz de fora,ces jf,uniacademia
centro de desenvolvimento da tecnologia nuclear,cdtn,cdtn
centro brasileiro de pesquisas fisicas,cbpf,cbpf
centro brasileiro de estudos latinoamericanos,cebela,cbeal
atitus educacao sa,atitus,atitus
atitus educacao,atitus,atitus
associacao instituto tecnologico vale desenvolvimento sustentavel,itv ds,itv ds
associacao instituto nacional de matematica pura e aplicada,impa,impa
centro de pesquisa agropecuaria de mato grosso,embrapa cpamt,embrapa mt
centro universitario senai cimatec,senaicimatec,senai cimatec
centro universitario senac,senacsp,senacsp
centro universitario saude abc,fmabc,fmabc
centro universitario sao camilo,cusc,cusc
centro universitario salesiano de sao paulo,unisal,unisal
centro universitario sagrado coracao,unisagrado,unisagrado
centro universitario ritter dos reis,uniritter,uniritter
centro universitario municipal de franca,unifacef,unifacef
centro universitario moura lacerda,cuml,cuml
centro universitario metodista ipa,ipa,metodista ipa
centro universitario lusiada,unilus,unilus
centro universitario la salle,unilasalle,unilasalle
centro universitario internacional,uninter,uninter
centro universitario inta,uninta,uninta
centro universitario herminio ometto,uniararas,fho
centro universitario franciscano do parana,unifaesc,unifae pr
embrapa recursos geneticos e biotecnologia,cenargen,embrapa cenargen
embrapa centro nacional de pesquisa do algodao,embrapacnpa,embrapa cnpa
embrapa centro de pesquisa agroflorestal do acre cpafac,embrapacpafac,embrapa ac
embrapa centro de pesquisa agroflorestal de roraima,embrapacpaf rr,embrapa rr
embrapa amazonia oriental,embrapacpatu,embrapa cpatu
embrapa amazonia oriental,embrapa cpatu,embrapa cpatu
embrapa amazonia ocidental,embrapacpaa,embrapa cpaa
embrapa amazonia ocidental,embrapa,embrapa cpaa
coordenadoria controle de doencas da sec est da saude de sp,ccd ses,ccd ses
ceumaassociacao de ensino superior,uniceuma,uniceuma
ceuma assocensino superior mantenedora,uniceuma,uniceuma
centro universitario univel,univel,univel
centro universitario unihorizontes,unihorizontes,unihorizontes
centro universitario una,una,una
centro universitario toledo,unitoledo,unitoledo
centro universitario tiradentes,unit alagoas,unit al
escola superior do instituto butantan,esib,ibu
escola superior de teologia,est,est
escola superior de propaganda e marketing,espm,espm
escola superior de guerra,esg,esg
escola superior de ciencias da saude,fepecsescs,fepecsescs
escola superior de ciencias da santa casa de misericordia de vitoria,emescam,emescam
escola super de cienc da st casa de misericordia de vitoria,emescam,emescam
escola nacional de ciencias estatisticas,ence,ence
escola de engenharia de lorena,usp eel,usp eel
escola de direito de sao paulo,fgv direito sp,fgv sp
escola de direito de sao paulo,fgv direit,fgv sp
escola de comando e estadomaior do exercito,eceme,eceme
escola bahiana de medicina e saude publica,ebmsp,ebmsp
empresa brasileira de pesquisa agropecuariamatriz,embrapamatriz,embrapa
empresa brasileira de pesquisa agropecuariamatriz,embrapa,embrapa
embrapaamapa centro de pesquisa agroflorestal do amapa,embrapacpafap,embrapa ap
faculdade de medicina de jundiai,fmj,fmj
faculdade de inhumas,facmais,facmais
faculdade de engenharia quimica de lorena,faenquil,usp eel
faculdade de direito milton campos,fdmc,fdmc
faculdade de direito do sul de minas,fdsm,fdsm
faculdade de direito de vitoria,fdv,fdv
faculdade de direito de campos,fdc,fdc
faculdade de direito da fundacao escola superior do ministerio publico,fmp,fmp
faculdade de ciencias medicas de minas gerais,fcmmg,fcmmg
faculdade de ciencias medicas da sta casa de sao paulo,fcmscsp,fcmscsp
faculdade de ciencias medicas da santa casa de sao paulo,fcmscspti,fcmscsp
faculdade damas da instrucao crista,fadic,fadic
faculdade casper libero,fcl,fcl
faculdade campo limpo paulista,faccamp,unifaccamp
faculdade autonoma de direito,fadisp,fadisp
escola superior dom helder camara,esdhc,esdhc
faculdade santa marcelina,fasm,fasm
faculdade santa casa de belo horizonte,fscbh,fscbh
faculdade rodolfo teofilo,frt,frt
faculdade novos horizontes,fnh,fnh
faculdade meridional,imed,imed
faculdade jesuita de filosofia e teologia,faje,faje
faculdade israelita de ciencias da saude albert einstein,ficsae,ficsae
faculdade guanambi,fg,unifg
faculdade evangelica mackenzie do parana,fempar,fempar
faculdade evangelica do parana,fepar,fempar
faculdade escola paulista de direito,facepd,facepd
faculdade de tecnologia senai cimatec,cimatec,senai cimatec
faculdade de sao bento,fsb,fsb
faculdade de medicina do abc,fmabc,fmabc
faculdade de medicina de sao jose do rio preto,famerp,famerp
faculdade de medicina de marilia,famema,famema
fundacao antonio prudente hospital a c camargo,fap,fap
fund jorge duprat figueiredo de seguranca e med do trabalho,fundacentr,fundacentr
fucape pesquisa ensino e participacoes limitada ma,fucapema,fucape ma
fucape pesquisa ensino e participacoes limitada,fucapema,fucape ma
fucape pesquisa e ensino s a ma,fucapema,fucape ma
fucape pesquisa e ensino s a es,fucape,fucape
fucape pesquisa e ensino limitada ma,fucapema,fucape ma
fucape fundacao de pesquisa e ensino,fucape,fucape
fiocruz rondonia,fiocruzro,fiocruz ro
fiocruz rondonia,fiocruz ro,fiocruz ro
fiocruz centro de pesquisas rene rachou,fiocruzcpqrr,fiocruz cpqrr
fiocruz centro de pesquisa leonidas e maria deane,fiocruzcpqlmd,fiocruz cpqlmd
fiocruz centro de pesquisa goncalo moniz,fiocruzcpqgm,fiocruz cpqgm
fiocruz centro de pesquisa aggeu magalhaes,fiocruznesc cpqam,fiocruz cpqam
faculdades pequeno principe,fpp,fpp
faculdades integradas de taquara,faccatrs,faccatrs
fundacao santa casa de misericordia de belo horizonte,scmbh,fscbh
fundacao pio xii hospital de cancer de barretos,hcb,hcb
fundacao oswaldo cruz fiocruz,fiocruz,fiocruz
